Rk,Name,Age,Tm,Tm_rDRS,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
109,Dylan Bundy,29,MIN,23,AL,8,8,0.5,4.89,29,29,0,0,0,0,140,151,79,76,24,28,0,94,3,0,3,595,80,4.66,1.279,9.7,1.5,1.8,6,3.36,bundydy01
516,Miles Mikolas,33,STL,70,NL,12,13,0.48,3.29,33,32,0,1,0,0,202.1,170,81,74,25,39,0,153,6,1,1,805,117,3.87,1.033,7.6,1.1,1.7,6.8,3.92,mikolmi01
814,Adam Wainwright,40,STL,70,NL,11,12,0.478,3.71,32,32,0,1,0,0,191.2,192,80,79,16,54,1,143,7,0,5,803,104,3.66,1.283,9,0.8,2.5,6.7,2.65,wainwad01
466,Sean Manaea*,30,SDP,6,NL,8,9,0.471,4.96,30,28,1,0,0,0,158,155,95,87,29,50,1,156,3,0,0,671,76,4.53,1.297,8.8,1.7,2.8,8.9,3.12,manaese01
157,Alex Cobb,34,SFG,-52,NL,7,8,0.467,3.73,28,28,0,0,0,0,149.2,152,72,62,9,43,0,151,3,1,4,631,107,2.8,1.303,9.1,0.5,2.6,9.1,3.51,cobbal01
629,José Quintana*,33,TOT,,NL,6,7,0.462,2.93,32,32,0,0,0,0,165.2,154,61,54,8,47,1,137,3,0,1,679,137,2.99,1.213,8.4,0.4,2.6,7.4,2.91,quintjo01
565,Aaron Nola,29,PHI,-34,NL,11,13,0.458,3.25,32,32,0,2,1,0,205,168,75,74,19,29,1,235,9,0,2,807,123,2.58,0.961,7.4,0.8,1.3,10.3,8.1,nolaaa01
614,Nick Pivetta,29,BOS,-2,AL,10,12,0.455,4.56,33,33,0,1,0,0,179.2,175,91,91,27,73,0,175,5,1,10,773,92,4.42,1.38,8.8,1.4,3.7,8.8,2.4,pivetni01
257,Kyle Freeland*,29,COL,6,NL,9,11,0.45,4.53,31,31,0,0,0,0,174.2,193,96,88,19,53,0,131,16,0,4,766,103,4.21,1.408,9.9,1,2.7,6.8,2.47,freelky01
176,Johnny Cueto,36,CHW,-35,AL,8,10,0.444,3.35,25,24,0,1,0,0,158.1,161,66,59,15,33,2,102,6,1,2,651,121,3.79,1.225,9.2,0.9,1.9,5.8,3.09,cuetojo01
307,Josiah Gray,24,WSN,-47,NL,7,10,0.412,5.02,28,28,0,0,0,0,148.2,136,84,83,38,66,1,154,8,0,7,649,77,5.86,1.359,8.2,2.3,4,9.3,2.33,grayjo03
472,Germán Márquez,27,COL,6,NL,9,13,0.409,4.95,31,31,0,0,0,0,181.2,185,109,100,30,63,0,150,4,2,8,779,94,4.71,1.365,9.2,1.5,3.1,7.4,2.38,marquge01
371,Cole Irvin*,28,OAK,-29,AL,9,13,0.409,3.98,30,30,0,0,0,0,181,174,87,80,25,36,3,128,7,0,3,741,93,4.21,1.16,8.7,1.2,1.8,6.4,3.56,irvinco01
294,Marco Gonzales*,30,SEA,38,AL,10,15,0.4,4.13,32,32,0,0,0,0,183,194,97,84,30,50,1,103,7,0,1,783,91,5.05,1.333,9.5,1.5,2.5,5.1,2.06,gonzama02
685,Patrick Sandoval*,25,LAA,8,AL,6,9,0.4,2.91,27,27,0,1,1,0,148.2,139,56,48,8,60,0,151,5,0,6,638,139,3.09,1.339,8.4,0.5,3.6,9.1,2.52,sandopa02
213,Dane Dunning,27,TEX,3,AL,4,8,0.333,4.46,29,29,0,0,0,0,153.1,158,80,76,20,62,0,137,11,0,6,671,88,4.45,1.435,9.3,1.2,3.6,8,2.21,dunnida01
107,Madison Bumgarner*,32,ARI,55,NL,7,15,0.318,4.88,30,30,0,0,0,0,158.2,179,97,86,25,49,0,112,9,0,2,698,82,4.85,1.437,10.2,1.4,2.8,6.4,2.29,bumgama01
391,Mitch Keller,26,PIT,-1,NL,5,12,0.294,3.91,31,29,0,0,0,0,159,162,77,69,14,60,1,138,12,1,2,687,105,3.88,1.396,9.2,0.8,3.4,7.8,2.3,kellemi03
531,Frankie Montas,29,TOT,,AL,5,12,0.294,4.05,27,27,0,0,0,0,144.1,137,72,65,18,43,3,142,6,0,7,608,93,3.78,1.247,8.5,1.1,2.7,8.9,3.3,montafr02
163,Patrick Corbin*,32,WSN,-47,NL,6,19,0.24,6.31,31,31,0,1,0,0,152.2,210,119,107,27,49,1,128,7,0,2,713,61,4.83,1.697,12.4,1.6,2.9,7.5,2.61,corbipa01
103,JT Brubaker,28,PIT,-1,NL,3,12,0.2,4.69,28,28,0,0,0,0,144,157,85,75,17,54,0,147,9,2,6,646,88,3.92,1.465,9.8,1.1,3.4,9.2,2.72,brubajt01
